"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-24","11.18"," 1534"," 1532","0.00","20","27","12",,"  330","  330","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-25","7.83"," 1124"," 2342","0.00","15","22","8",,"  260","  190","16.1","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-26","13.65"," 2228"," 0807","0.06","25","30","19",,"  320","  190","25.1","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-27","11.18"," 0110"," 0109","0.00","18","26","10",,"  340","  330","25.1","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-28","6.26"," 0134"," 0121","0.03","18","28","8",,"  240","  250","13.0","15.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-29","11.86"," 2116"," 2115","0.59","35","41","28",,"  180","  210","25.9","36.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-30","8.95"," 0009"," 2359","0.12","34","38","30","    0","  220","  230","17.9","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-31","11.86"," 2046"," 2045","0.00","30","33","26",,"  280","  280","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-01","11.63"," 2042"," 2038","0.00","16","29","2",,"  300","  300","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-02","11.41"," 0420"," 0419","0.00","3","10","-4",,"  300","  300","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-03","11.86"," 1113"," 1249","0.02","20","30","10",,"  180","  190","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-04","7.16"," 2209"," 2209","0.00","29","33","25",,"  360","  360","14.1","15.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-05","11.18"," 1412"," 1405","0.01","28","32","24",,"  240","  230","17.0","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-06","6.71"," 0749"," 0804","0.00","26","34","17",,"  360","  330","14.1","16.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-07","6.93"," 1932"," 1920","0.05","24","35","12",,"  100","  130","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-08","6.93"," 2240"," 2247","0.74","41","48","34",,"  190","  190","23.0","25.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-09","15.88"," 1932"," 1931","0.48","34","49","19",,"  320","  310","29.1","34.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-10","8.95"," 2152"," 2153","0.00","14","19","8",,"  350","  350","6.0","6.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-11","7.38"," 2145"," 2145","0.00","17","27","6",,"  130","  120","14.1","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-12","8.50"," 1142"," 1141","0.00","28","36","20",,"  240","  240","15.0","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-13","4.70"," 1330"," 1331","0.01","35","38","31",,"  150","  150","10.1","12.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-14","8.72"," 1654"," 1654","0.19","32","36","27",,"   50","   50","16.1","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-15","6.93"," 1006"," 1615","0.00","30","33","26","    0","   70","   70","12.1","14.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-16","12.75"," 2359"," 2317","0.00","22","31","13","    0","  320","  320","23.0","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-17","13.20"," 0102"," 0101","0.00","12","18","5","    0","  330","  330","23.9","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-18","11.86"," 2344"," 2333","0.00","17","27","6",,"  200","  180","17.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-19","14.09"," 1340"," 1340","0.00","34","42","26",,"  240","  240","25.1","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-20","11.63"," 2042"," 2059","0.00","26","35","16",,"  300","  320","23.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-21","9.17"," 0314"," 0255","0.00","15","22","8",,"  360","  350","19.9","25.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-22","11.86"," 2017"," 2017","0.01","23","27","18",,"  260","  270","23.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-23","10.07"," 0044"," 0044","0.00","25","33","16",,"  300","  290","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-24","13.87"," 2305"," 2223","0.89","42","54","29",,"  190","  190","25.9","34.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-25","25.50"," 0616"," 0616","0.00","41","54","27",,"  260","  260","44.1","53.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-26","8.72"," 0101"," 0136","0.00","30","39","20","    0","  300","  310","17.9","21.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-27","10.74"," 0703"," 1045","0.00","22","28","16","    0","   10","   20","17.0","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-02-28","10.07"," 1900"," 2035","0.00","19","28","10","    0","  260","  250","17.0","21.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-01","12.97"," 1326"," 1325","0.00","30","41","18","    0","  240","  240","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-02","11.41"," 1254"," 1247","0.00","33","42","24","    0","  260","  260","25.1","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-03","2.46"," 1857"," 1859","0.00","35","50","20","    0","  340","  340","10.1","10.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-04","13.65"," 0924"," 0744","0.00","28","35","21","    0","   20","   30","23.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-05","16.33"," 1454"," 1422","0.00","24","29","18","    0","  330","  320","28.0","34.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-06","12.30"," 0834"," 0812","0.00","28","36","20","    0","  360","  360","23.0","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-07","12.30"," 1703"," 1703","0.00","32","44","20","    0","  280","  270","25.1","31.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-08","12.30"," 1500"," 1256","0.00","31","36","26","    0","  330","  310","19.9","25.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-09","8.28"," 1315"," 1533","0.00","30","39","20","    0","  290","  290","15.0","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-10","11.41"," 1522"," 1508","0.11","33","50","16","    0","  190","  190","23.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-11","10.51"," 0200"," 0408","0.03","31","40","22",,"  360","  360","21.9","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-12","12.75"," 1830"," 2241","0.21","38","48","28",,"  280","  260","23.9","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-13","15.21"," 1531"," 1558","0.00",,,,,"  290","  290","29.1","34.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-14","8.95"," 0001"," 0000","0.02","37","49","25",,"  300","  310","17.9","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-15","15.43"," 1524"," 1547","0.42","39","45","33","    0","   50","   40","23.9","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-16","18.12"," 0621"," 1416","0.02","31","33","29","    0","   50","   20","25.9","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-17","8.50"," 0950"," 0354","0.00","31","40","22","    0","   20","  330","16.1","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-18","3.13"," 1340"," 1311","0.00","32","46","18","    0","  160","  160","10.1","15.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-19","6.49"," 1126"," 1045","0.00","35","47","22","    0","  160","  160","15.0","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-20","6.26"," 1141"," 1239","0.00","37","51","23","    0","   60","   70","14.1","16.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-21","7.16"," 0943"," 0942","0.00","39","54","23",,"   10","   10","16.1","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-22","6.93"," 2337"," 2330","0.00","41","55","26",,"  310","  320","15.0","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-23","11.18"," 2104"," 2025","0.00","39","48","30",,"  310","  280","21.0","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-24","15.21"," 0552"," 1021","0.00","27","34","20",,"  320","  330","21.9","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-25","13.87"," 1456"," 1509","0.00","22","25","18","    0","  320","  320","25.1","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-26","10.29"," 1109"," 1151","0.00","24","34","14","    0","  310","  290","16.1","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-27","4.47"," 2023"," 1137","0.00","29","39","18","    0","  150","  340","8.9","14.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-28","9.40"," 1548"," 1547","0.00","35","49","21","    0","  240","  240","23.9","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-29","7.61"," 1142"," 1231","0.00","41","48","34","    0","  140","  140","14.1","16.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-30","7.61"," 1308"," 1231","0.00","42","53","31","    0","  100","  120","15.0","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-03-31","9.84"," 1910"," 1909","0.10","44","57","31","    0","  330","  320","25.9","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-01","10.96"," 1449"," 1258","0.00","38","49","27",,"  290","  270","21.9","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-02","6.71"," 2145"," 1543","0.00","44","61","26",,"   20","  200","19.9","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-03","14.32"," 1528"," 1447","0.00","40","49","30",,"   70","   50","23.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-04","10.96"," 1404"," 1502","0.00","42","56","27",,"   70","   80","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-05","8.95"," 1654"," 1654","0.38","49","61","37","    0","  330","  330","25.9","36.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-06","8.50"," 1737"," 1737","0.49","54","62","45","    0","   90","  110","17.9","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-07","21.03"," 1420"," 1409","0.00","64","80","47","    0","  240","  240","40.9","53.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-08","10.29"," 0117"," 0115","0.00","60","77","43","    0","  280","  270","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-09","11.41"," 0625"," 0625","0.16","56","66","45","    0","  110","  110","23.9","29.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-10","12.08"," 1240"," 1239","0.00","51","55","46","    0","   70","   60","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-11","12.97"," 1404"," 1403","0.42","63","75","51","    0","  190","  190","32.0","42.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-12","23.26"," 1226"," 0831","0.00","0",,,"    0","  250","  240","38.0","47.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-13","6.04"," 0727"," 0728","0.00","0",,,"    0","  330","  320","14.1","16.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-14","6.71"," 1038"," 1122","0.01","53","65","40","    0","  330","  360","17.0","25.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-15","10.74"," 0106"," 0113","0.38","47","54","39","    0","  180","  170","28.0","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-16","16.55"," 0929"," 1202","0.00","34","39","28","    0","  290","  270","30.0","38.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-17","13.20"," 0759"," 0758","0.00","38","47","28","    0","  360","  360","25.1","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-18","6.26"," 1427"," 1351","0.00","41","55","27","    0","  270","  300","16.1","25.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-19","11.63"," 2325"," 2324","0.03","50","67","33","    0","  210","  210","33.1","40.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-20","15.21"," 1942"," 1941","0.25","64","77","51","    0","  200","  190","25.1","34.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-21","18.34"," 1050"," 1457","0.20","68","81","54","    0","  220","  220","36.0","40.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-22","11.86"," 2325"," 2324","0.15","65","78","51","    0","  190","  200","23.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-23","23.49"," 1611"," 1526","0.18","57","70","44","    0","  260","  270","38.0","49.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-24","10.29"," 0248"," 0258","0.00","51","61","41","    0","  310","  320","23.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-25","8.28"," 1220"," 1149","0.00","50","59","41","    0","  190","  180","17.0","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-26","13.65"," 1532"," 1531","0.00","59","76","41","    0","  210","  220","25.9","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-27","10.51"," 1405"," 1404","0.00","52","65","38","    0","   70","   80","19.9","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-28","7.38"," 1518"," 1434","0.00","53","68","38","    0","  110","  110","15.0","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-29","10.51"," 1521"," 1145","0.00","60","75","45","    0","  160","  140","17.9","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-04-30","11.18"," 1502"," 1351","0.00","67","83","51","    0","  220","  220","23.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-01","15.88"," 1135"," 1143","0.00","71","82","59","    0","  230","  240","30.0","38.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-02","13.20"," 1606"," 1605","0.00","71","81","60","    0","  210","  220","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-03","11.18"," 1954"," 1953","0.00","72","84","59","    0","  320","  330","23.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-04","10.51"," 1811"," 1809","0.00","57","64","50","    0","   40","   40","21.9","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-05","12.30"," 0819"," 0816","0.00","59","67","51","    0","   90","   80","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-06","7.61"," 1632"," 1624","0.42","66","76","55","    0","  120","  140","17.0","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-07","10.29"," 1126"," 1126","0.44","56","67","45","    0","  240","  240","21.9","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-08","12.75"," 1105"," 1703","0.01","60","75","44","    0","  240","  260","32.0","38.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-09","9.62"," 1119"," 1527","0.00","62","79","45","    0","  220","  220","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-10","10.74"," 1524"," 1522","1.97","69","80","58",,"  220","  220","38.9","48.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-11","9.84"," 0150"," 0210","0.42","55","64","45","    0","  280","  260","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-12","6.93"," 1322"," 1128","0.00","0",,,"    0","   10","   30","15.0","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-13","2.01"," 1210"," 1216","0.00",,,,,"  170","  170","10.1","13.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-14","9.62"," 1442"," 1533","0.09","54","65","43",,"   70","  140","23.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-15","12.30"," 1601"," 1601","0.00","73","87","58",,"  230","  230","25.9","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-16","7.38"," 0354"," 0400","0.00","76","88","64","    0","  250","  250","17.0","21.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-17","5.59"," 1519"," 1550","0.04","73","85","61","    0","  220","  210","15.0","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-18","11.41"," 1136"," 0902","0.00","62","73","50","    0","   50","   40","21.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-19","8.28"," 1220"," 1146","0.00","60","74","45","    0","   70","   40","14.1","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-20","8.72"," 2313"," 2315","0.02","62","78","46","    0","  140","  140","19.9","23.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-21","14.54"," 1644"," 1434","0.30","60","69","51","    0","  270","  280","28.0","36.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-22","12.75"," 1211"," 1211","0.04","52","62","42","    0","  240","  240","34.9","42.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-23","9.17"," 1414"," 1413","0.02","53","62","43","    0","  270","  280","36.0","40.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-24","4.03"," 1500"," 1413","0.08","50","60","40","    0","  160","  180","15.0","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-25","4.25"," 1104"," 1103","0.91","49","57","40","    0","  310","  310","16.1","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-26","10.51"," 2120"," 1910","0.69","47","55","38","    0","  340","   10","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-05-27","8.95"," 1327"," 1326","0.04","57","65","48","    0","   30","   30","19.9","23.0",,,,,,,
